"az_early_az_late","az_early_tx_early","az_early_tx_late","az_late_tx_early","az_late_tx_late","tx_early_tx_late","az_early_az_late-pval","az_early_tx_early-pval","az_early_tx_late-pval","az_late_tx_early-pval","az_late_tx_late-pval","tx_early_tx_late-pval"
"GB43139",0.0256634354741759,0.0037133740523374,0.031486483891969,0.034496239508954,0.00587859620487097,0.0386769125937451,0,0.072,0,0,0.01,0
"GB43140",0.00823057969641194,0.0010780023218262,0.00383966645196565,0.00975367571708408,0.00182717362583451,0.00484508863165067,0,0.115,0.001,0,0.012,0
"GB43141",0.004267733553598,0.00403434180473405,0.00419604310260258,0.0124035965923661,0.000131904869795751,0.0139870313237186,0.009,0.01,0.01,0,0.332,0
"GB43142",0.0128350345693539,0.00459999460326066,0.0138496395188831,0.0160299997169737,0.000149159795332254,0.0183384919593252,0,0.012,0,0,0.323,0
"GB43143",0.0190985939521171,0.0039722115768418,0.0146906247045643,0.02029575251302,0.000361468306449009,0.0165495531595242,0,0.045,0,0,0.289,0
"GB43144",0.0875294204619391,0.0440822564577661,0.0709349116460439,0.154521455289431,0.0053101620917998,0.114890650810974,0,0,0,0,0.045,0
"GB43145",0.00134599312830808,0.000602385321002208,0.00198600155076512,0.001111337749091,8.177331473469e-05,0.00101911768141294,0.003,0.053,0,0,0.328,0
"GB40228",0.00720576142783746,0.00905650255277179,0.00968402201058527,0.00652499418629016,0.000915670645031397,0.0070596307354216,0,0.001,0,0,0.142,0
"GB43146",0.27872461226773,0.0359654383191255,0.276113667389265,0.404651674381916,-0.000479190764764548,0.395715310968878,0,0.015,0,0,0.379,0
"GB43173",0.0452490612640222,0.0119971867374266,0.0341952809942524,0.0433126750559628,0.0018129022706026,0.0324845903198964,0,0,0,0,0.071,0
"GB43181",0.0387209281462937,0.00541817672549716,0.0257588493616647,0.070391429372976,0.00186794995143835,0.0509345557415039,0,0.034,0,0,0.093,0
"GB43182",0.230757201826067,0.00908928420240629,0.215896657754394,0.190925786283767,0.00121689098528244,0.174298868865294,0,0.064,0,0,0.233,0
"GB43183",0.102338623062558,0.0202297565710199,0.0730045209573191,0.106168394649157,0.00630737358203182,0.0690233253732784,0,0.011,0,0,0.063,0
"GB43188",0.000136798905608693,0.000319949088758875,0.000160946495679326,0.000183150183150182,-4.02471172988861e-06,0.000207297773220705,0.082,0.006,0.037,0.006,0.556,0.001
"GB43189",0.0105534063815188,0.0093529519364477,0.0129704495546309,0.00872147862078221,0.000633075421462959,0.0077072112868467,0,0,0,0,0.149,0
"GB43191",0.00194164958696441,0.00277492666188361,0.00337752572240835,0.00151256601901084,0.000175293235552765,0.00100326241070647,0.005,0.001,0,0,0.237,0.002
"GB43199",0.00821129759212569,0.0013806571984063,0.00654960262953286,0.00646835394348411,-0.000115076964391392,0.0055479788606867,0,0.111,0.001,0,0.493,0
"GB43201",-3.36089135473117e-05,0.000840953811456435,-1.74107125305856e-05,0.000937572369108519,-3.92290171873366e-05,0.00117761346726619,0.517,0.006,0.485,0,0.568,0
"GB40229",0.00291480656599463,0.000408831533073029,0.00387740925438174,0.00209877427100369,0.000293981419313027,0.00242203936192764,0.002,0.157,0,0,0.153,0.001
"GB43202",0.0845458191285962,0.0329055513792543,0.0944874272334136,0.0329603954620236,-0.00049262409618378,0.0377936978819097,0,0,0,0,0.527,0
"GB43205",0.020922316974924,0.00930509322470607,0.024405634521002,0.0109720540365699,0.000455353590355534,0.0124182627728039,0,0,0,0,0.236,0
"GB43206",0.00289479929052838,0.00521789387328109,0.00390021498707682,0.00265998554420144,0.00117184473406284,0.00370099793362544,0,0,0,0,0.004,0
"GB43207",0.0213784381659246,0.0121740279224276,0.022054174167576,0.00700654296538528,0.000572858224275552,0.00941623911343015,0,0,0,0,0.153,0
"GB43208",0.00431742419849601,0.00447583454418798,0.00560428753668063,0.00546341567876196,0.000145854644589494,0.006371847278689,0.008,0.003,0.002,0,0.276,0
"GB43209",-0.00322411225179065,-0.00478629516834483,-0.00587266683006482,-0.000241849362192736,0.000633344464319174,0.00322046215636795,0.584,0.759,0.901,0.374,0.314,0.171
"GB43220",-0.00742868336738867,-0.00807169061389268,-0.00354479248925155,-0.00231833207727283,0.00581596640930326,-0.00252696249332085,0.706,0.834,0.443,0.436,0.167,0.484
"GB43221",0.000239636888572869,0.00141493474989751,0.000183767262581069,0.00107120118070214,-7.34110538060939e-05,0.00122405513312218,0.175,0.001,0.215,0,0.635,0
"GB43222",0.00333908457674514,0.00579831284935473,0.00262427381494279,0.0130233050290058,0.000450975811843835,0.0116269832439677,0.011,0.001,0.017,0,0.178,0
"GB43223",0.0463453046199469,0.00824954208280759,0.0531980386117774,0.0423312979190476,-0.000665820885644708,0.0425868882739382,0,0.018,0,0,0.591,0
"GB40230",0,0.000261643118785959,0,0.00020301087687169,-2.81729821101084e-05,0.000211633696701963,0.538,0.012,0.479,0.002,0.665,0
"GB43224",0.040610282122746,0.0265936877328767,0.0382034157378192,0.0882644210033505,0.00227132516961559,0.0742108443234835,0,0,0,0,0.121,0
"GB43225",0.000483256268103416,0.00108314328342241,0.000842549892996258,0.00198226959609993,-2.61375118471019e-05,0.00191740186768585,0.097,0.021,0.031,0,0.475,0
"GB43226",0.0790919242610418,0.0303096876921061,0.0936467533095402,0.0709691593236241,0.007403823643651,0.0554906452724607,0,0.002,0,0,0.029,0
"GB43227",0.0162965078373519,0.0042801025952075,0.027753418044274,0.012459919019105,0.00584388921596501,0.0181710285760255,0.001,0.057,0,0,0.01,0
"GB43228",0.0479421059092053,0.0162584132236692,0.0479970009273448,0.0216217773822222,0.00268010571532029,0.0193295461760481,0,0,0,0,0.024,0
"GB43229",0.102532797993114,-0.00384484323445866,0.0929526436250956,0.0821575990696165,0.00151714501780498,0.0740199260841373,0,0.854,0,0,0.198,0
"GB43230",0.00234104125958201,0.00276432238681135,0.0051133837761429,0.00606057834202567,0.00100547584129596,0.00827996159323041,0.014,0.003,0,0,0.034,0
"GB43231",0.00293269357407344,0.00248352926296969,0.00448584674635466,0.00332909137583626,0.00143621763217483,0.00494536008331259,0,0.001,0,0,0.003,0
"GB43232",0.0301437391336293,0.00581761396241043,0.0283828178623279,0.0141918586330958,0.000391936844590934,0.0120796282205722,0,0.008,0,0,0.27,0
"GB43233",0.0408837820757678,0.02762058537173,0.113430485168515,0.0233143664270758,0.0283338909762073,0.0486077789059325,0,0.003,0,0.002,0,0
"GB40231",0.0134273693006616,0.00442789788211351,0.0118721430021789,0.0118218867959666,0.00190267546776546,0.00982120128427311,0,0.011,0,0,0.033,0
"GB43234",6.9976530343463e-05,9.66511971056683e-05,0.000160946495679326,4.91723038126279e-05,-3.2198600970812e-05,7.76324632929537e-05,0.162,0.12,0.071,0.202,0.746,0.083
"GB43239",0.115668516451523,0.0156360332872221,0.0972319079272755,0.0525031844149731,0.00162578305036365,0.0397935934720314,0,0.003,0,0,0.13,0
"GB43242",0.00319459468178707,0.00164615361145592,0.00484323242116291,0.00391360624727399,0.000455581759271406,0.00401391158488906,0.001,0.031,0.001,0,0.162,0
"GB43245",0,-5.93295757935763e-05,0,0,0,0,0.919,1,0.921,0.837,0.835,0.806
"GB43252",0.0425714587137167,0.0069049434812819,0.0461388221745453,0.029406324106574,0.00083295076364831,0.0314649035101471,0,0.041,0,0,0.218,0
"GB43256",0.0298765612312061,0.126343073574979,0.0192490945438695,0.171919708014977,-0.0033318849861308,0.150477812684406,0.009,0,0.03,0,0.765,0
"GB43257",0.0107955802063671,0.0156715572064954,0.0103973520225016,0.015977786172514,0.00168937145955927,0.0136245319650301,0,0,0,0,0.041,0
"GB43258",0.0149116977868455,0.0324502468516673,0.0164798742506338,0.0349186931463848,0.00313257197488104,0.0261324357266924,0.002,0,0,0,0.087,0
"GB43260",0,0,0.00656814449917897,-0.00543478260869557,-0.00217951258173166,-0.00144590982780501,NA,NA,NA,NA,NA,NA
"GB43262",0.0366487147365703,0.0155242607128715,0.0164814803687766,0.0538959174507099,0.00828853189855916,0.0284878021795568,0,0.004,0.002,0,0.007,0
"GB40233",0.00770712909441229,NA,0.00246305418719206,0.00770712909441229,-0.00254841821121499,0.00246305418719206,NA,NA,NA,NA,NA,NA
"GB43263",0.0758819655621722,0.0110595722450013,0.0303180022064587,0.134935830781348,0.0187355125332419,0.0639373768270557,0,0.038,0.001,0,0.004,0
"GB43266",0.029276644045128,0.00147319747950447,0.0198351002845468,0.0299779380638431,0.00318996796274917,0.0235249250431412,0,0.222,0,0,0.052,0
"GB43271",0.105115953970276,0.0959747907717931,0.14563515032531,0.0210139399187164,0.00425553713368421,0.0186797249569178,0,0,0,0.013,0.145,0.011
"GB43274",0.0291890628021786,0.010837027643992,0.0239841906144541,0.0636322868969803,0.00469518598214558,0.0395335841653185,0,0.01,0.001,0,0.034,0
"GB43275",0.000763087176069766,0.00231940638183759,0.0013260417605705,0.00125841832393447,0.000229510691303281,0.00114902022110652,0.036,0,0.003,0,0.154,0
"GB43278",0.00186632919082763,0.00888613317392661,0.00746450304259638,0.00684779318661288,-0.00207166617855181,0.00588638584218049,0.251,0.093,0.088,0.063,0.682,0.07
"GB43279",0.0578034682080926,NA,0.0246305418719212,0.0578034682080926,0.00742245512460238,0.0246305418719212,0.003,NA,0.071,0,0.101,0.009
"GB43280",0.115606936416185,0,0.118823705030602,0.106039025324945,-0.00495358024022852,0.109047951122537,0,0.369,0,0,0.911,0
"GB43282",0,-5.41668948979002e-05,2.41475900705224e-05,0.000183150183150182,-4.02471172988861e-06,0.000157285632646054,0.555,0.708,0.383,0.006,0.499,0.01
"GB43293",-3.4386128404007e-05,-0.000206053467374678,0.000120737950352501,0.000140872871388309,-2.30613486560394e-05,0.000305050070683266,0.601,0.908,0.206,0.102,0.543,0.016
"GB40234",0.000856944137723081,0.000908987800163019,0.00100588751940234,0.000231439219349538,-4.92587007629997e-05,0.000114509865128509,0,0.001,0,0.054,0.607,0.173
"GB40025",0,7.84929356357766e-05,0,7.84929356357766e-05,0,7.84929356357766e-05,0.852,0.048,0.784,0.043,0.651,0.026
"GB43294",0.0342048166113714,0.0198601180665848,0.0382687769265726,0.0394516930626552,0.000171669158517629,0.0407894733251039,0,0,0,0,0.326,0
"GB43295",0.00837336798115396,0.0142585709641144,0.0121293789900944,0.00910062166709291,0.00246263268795865,0.0115728885704725,0.001,0,0,0,0.008,0
"GB43297",0.162032010386792,-0.00556894836494348,0.18942813783468,0.132215559730679,-0.00357395557869977,0.157386036794931,0,0.69,0,0,0.683,0
"GB43298",0.0047345346415546,0.00339080563809135,0.00607260748358807,0.00435424164005171,0.00053650820853357,0.00563587715559599,0,0.001,0,0,0.135,0
"GB43299",0.0455573975041687,0.00746038497420853,0.0427852228519637,0.0310200610843682,-0.000269900381578481,0.0278540135019048,0,0.015,0,0,0.466,0
"GB43300",0.00543160923604424,0.0389691706642171,0.00877667540678406,0.0146418278033577,-0.000323348059301232,0.00969062708983237,0.158,0.004,0.107,0.014,0.382,0.036
"GB43302",0.00585983807677115,0.000742402888015192,-0.000652054924918488,0.00185295310448974,0.00459820070407246,-0.000381882043124948,0.147,0.315,0.417,0.204,0.112,0.38
"GB43303",0.0594873936814426,0.00146021536395879,0.048197064801798,0.0708518745116893,-0.00107421497578541,0.0552047406846633,0,0.261,0,0,0.472,0
"GB43304",0.000136798905608693,0.000234472631213012,7.98039103915293e-05,0.000127667541091614,0,0.000156985871271553,0.094,0.011,0.141,0.019,0.474,0.002
"GB43309",0.0562426781257372,0.00670982951440557,0.0420420218649802,0.0329634334705518,0.00273317214681346,0.0224299511120885,0,0.029,0,0,0.074,0
"GB40263",0.000136798905608693,0.00162672529436481,0.000369591508998846,0.00172684458398742,0.000205271864472278,0.00176695754096923,0.274,0.001,0.076,0,0.075,0
"GB43334",0,0,0,0,0,0,1,1,1,1,1,1
"GB43335",-0.00541911711899279,0.0255497238249753,-0.00282649634617194,0.0486404654854561,0.00743255806322829,0.0141897380636605,0.581,0.036,0.435,0.001,0.093,0.04
"GB43336",0.000136798905608693,-0.000180909532342399,2.28024170562113e-05,0.000156985871271553,-2.81729821101084e-05,5.6951552699358e-05,0.107,0.996,0.398,0.049,0.573,0.157
"GB43337",0,0,0,0,0,0,1,1,1,1,1,1
"GB43367",0.116440760374115,0.105139641061404,0.135899242879127,0.0465907320163143,-0.00280154482079986,0.0514152991277798,0,0,0,0,0.741,0
"GB43369",0.00860588514791016,0.00400927924707761,0.00594612118384741,0.0161273641750226,0.000854741270371995,0.0141675155487363,0.002,0.013,0.001,0,0.123,0
"GB43375",0.0222764789047516,0.0140322400717042,0.0201826864896094,0.00335579816925058,1.82464719885589e-05,0.00369242841314465,0,0,0,0.005,0.385,0.001
"GB43380",7.62869490332774e-05,0.000221928275904615,3.55616878711107e-05,0.000318097012820817,-6.03740777860295e-05,0.000197362876268703,0.305,0.123,0.39,0.025,0.599,0.067
"GB43381",0.0746366358690713,-0.00295821931901386,0.0577687527268396,0.0680166891334094,0.00139770841114373,0.0496159604682906,0,0.711,0,0,0.231,0
"GB43382",0.0213556902482974,-3.38495387999238e-05,0.014672205165252,0.0156171309361667,-0.000294095076343037,0.00659728706517515,0.02,0.349,0.043,0.019,0.381,0.07
"GB40264",0.0277164158717884,0.010763489723667,0.0196907976078753,0.0184276920158807,0.00158040718461472,0.0155025799020242,0,0,0,0,0.086,0
"GB43385",0,0,0,0,0,0,1,1,1,1,1,1
"GB43394",0.146435452793834,NA,0.133174791914388,0.146435452793834,-0.00311611924140176,0.133174791914388,0,NA,0,0,0.552,0
"GB43401",0.0456922836202162,0.0176414018869261,0.0791259919776889,0.0841999134776966,0.00668929333809676,0.108854502023878,0,0.002,0,0,0.03,0
"GB43402",0.100120000732657,0.00241046647454701,0.121153530112772,0.0681887209190652,0.00167844035786535,0.0877011375412377,0,0.173,0,0,0.133,0
"GB43403",0.00175375534606137,0.00113931514569166,0.0021727842725151,0.00467427021189015,-9.94382611734235e-05,0.00484534609962539,0.046,0.101,0.022,0,0.508,0
"GB43404",0.00212561806396327,0.00496940120654654,0.00344796683901727,0.00398144177001958,7.56153064650489e-05,0.00421255043935698,0.006,0,0.001,0,0.321,0
"GB43405",0.0326686288418432,0.0557633116518678,0.032456542860552,0.160515629495152,0.00190157996006901,0.153237861533652,0,0,0,0,0.167,0
"GB43407",0,2.61643118786292e-05,0,2.61643118786292e-05,0,2.61643118786292e-05,0.921,0.115,0.923,0.16,0.834,0.1
"GB43408",0.0441452016477493,0.0214846182418658,0.0641671443410857,0.0914517174642546,0.0110139381472132,0.0841085850823899,0,0.009,0,0,0.017,0
"GB43409",0.0381023443351753,0.00770107411139276,0.0549306203382599,0.0262277155820386,0.00355163156269744,0.0389100825958807,0,0.024,0,0,0.054,0
"GB40265",0.0268849933121909,0.0167882303075568,0.0208858410510938,0.018426687359294,0.00268997497052048,0.0101961843822209,0,0,0,0,0.019,0
"GB43415",0.0154870314650495,0.00703706324286268,0.0310154672751621,0.0114046656376143,0.00380291248258346,0.0172192687203961,0,0.006,0,0,0.015,0
"GB43416",0,0,0,0,0,0,1,1,1,1,1,1
"GB43425",0.000136798905608693,3.73203154345747e-05,0.000160946495679326,7.84929356357766e-05,2.41475900705224e-05,0.000102640525706299,0.059,0.146,0.02,0.066,0.267,0.025
"GB43426",0,0,0,0,0,0,1,1,1,1,1,1
"GB43434",0.113895520969834,0.00985205085910035,0.12527340065791,0.107811514824043,-0.00225981886742677,0.118219368663133,0,0.06,0,0,0.737,0
"GB43444",0.00280943301193581,-0.00784395035227448,-0.00176224822504811,0.00576398276558154,0.00259760811069643,0.0048377894290168,0.247,0.925,0.398,0.122,0.201,0.125
"GB43446",0.105641193769872,0.0174623523821743,0.0817306190896859,0.0456272149833913,0.00219511238846393,0.0302868251420052,0,0.003,0,0,0.081,0
"GB43450",0.178434255281558,0.0635039010856004,0.166488310880471,0.0709784591752119,0.002701085702979,0.0532644891564562,0,0,0,0,0.152,0
"GB43451",0.0155435981554779,0.0113211776555873,0.0324635539331306,0.0116898066181118,0.00385125904705497,0.0187950195552107,0,0.001,0,0,0.023,0
"GB43453",0.000617208722692553,0.00119881352065154,0.000756437298255364,0.000723191063650264,4.4271829030218e-05,0.000308483795573355,0.007,0,0.004,0.001,0.33,0.022
"GB40278",0.00181964866231465,0.004698782167329,0.00320890644445948,0.00247850769385627,3.36789784062264e-05,0.00200352522106384,0.012,0,0,0,0.365,0
"GB43455",0.0341247955389163,0.0162971788935278,0.0297559631838217,0.0351185059957773,0.000173959011261604,0.0250467619910061,0,0.003,0,0,0.39,0
"GB43456",0.000170019289636336,4.15291461230982e-06,0.000185094085749737,0.000137877631542049,8.15155641686882e-05,0.000127945623574433,0.045,0.442,0.033,0.023,0.09,0.019
"GB43474",0.00140366440570561,0.00176206580471938,0.000900693814123055,0.00226717644779673,0.000228563163719886,0.00191189285754811,0.004,0,0.016,0,0.16,0
"GB43475",3.6370047461376e-05,0.000363562706869214,2.28024170562113e-05,0.000497891672718076,5.04833783476766e-06,0.000448289860760731,0.339,0.025,0.386,0.001,0.412,0
"GB43476",0,0,0,0,0,0,1,1,1,1,1,1
"GB43477",-0.00563938390037477,0.00290316084513864,-0.00256407430672678,0.00236963305617599,-0.000244857805719034,0.0164367389822158,0.743,0.257,0.464,0.206,0.354,0.023
"GB43484",0.0408954029825709,-0.000216554176462047,0.0288610719216648,0.0535628380111237,0.00106650220422511,0.039488427466326,0,0.425,0,0,0.251,0
"GB43488",0.000416080587244738,0.000432930568677103,4.83282363903381e-05,0.000570323726425404,4.03214538916563e-05,0.000667639436478407,0.08,0.072,0.344,0.008,0.348,0.002
"GB43489",0.00600642824140052,0.00464722151022401,0.00445285877416834,0.0011796141504844,-7.13439087483003e-05,0.000557190653364348,0,0,0,0.017,0.527,0.066
"GB43492",0.0419208324076568,0.0110965788870589,0.0499836760165143,0.0363665205683843,-0.00107599232554212,0.0461774593426332,0,0.007,0,0,0.64,0
"GB40279",0.0681724325357331,0.0121780005477878,0.078828195129886,0.0397225569315821,0.00281698633438299,0.0418435066100238,0,0.006,0,0,0.08,0
"GB43495",3.14522279964979e-06,-2.20176076417555e-05,0.000136798905608693,1.98499524052265e-05,0,7.84929356357766e-05,0.351,0.601,0.102,0.272,0.438,0.093
"GB43496",0.0003467839913186,0.000681646855795748,0.000571343212505626,0.000461524927083068,2.41475900705224e-05,0.000523604322210214,0.029,0.004,0.006,0.002,0.376,0
"GB43497",0,0,0,0,0,0,1,1,1,1,1,1
"GB43498",0.0912397877167015,0.0198205907181337,0.0772250791247282,0.0414660795128828,0.000424979883251519,0.038902192543629,0,0.013,0,0,0.319,0
"GB43501",0.00667634552485807,0.00496074104906363,0.0113415901524567,0.0113581074485316,0.000709584225113358,0.0108914792214313,0.004,0.009,0.001,0,0.233,0
"GB43527",0.0858381935800833,0.019133424995633,0.0999369155610883,0.0506378879606237,0.00105720695055311,0.0589449195957784,0,0.001,0,0,0.198,0
"GB43529",0.0605523234093567,0.00703181536075037,0.0350100081836304,0.113497016134452,0.00214107075648606,0.0749747133669283,0,0.115,0.001,0,0.206,0
"GB43533",0.000852037751493562,0.000792155643050796,0.000884582260787026,0.00198276099720018,0.000186432772158462,0.00194532283651849,0.023,0.024,0.017,0,0.207,0
"GB43543",0.0342330659199086,0.00620100201427987,0.0349243655105874,0.0173368779749163,0.000519773793674627,0.0200830853987773,0,0.028,0,0,0.253,0
"GB43545",-0.00878883142345255,0,0,0.00578034682080919,0.00578034682080919,NA,NA,NA,NA,NA,NA,NA
"GB40280",0.0146393809464849,0.00716109692564992,0.0204573902425992,0.0120876361918731,0.0014448168170631,0.0123831817210316,0,0.006,0,0,0.081,0
"GB43546",0.000273597811217496,0.000587569553760714,0.000216610613920087,0.000313971742543107,0,0.000288968965656555,0.016,0,0.028,0.004,0.46,0
"GB43547",0.0498934139460018,0.00365007827438057,0.0303440678836445,0.0883143651842021,0.00263378907253298,0.0680795976551944,0,0.186,0.002,0,0.152,0
"GB43572",0.0004103967168263,0.000466265570495783,5.10139872711424e-05,0.000470957613814771,9.65903602820894e-05,0.00019247011924961,0.029,0.017,0.302,0.003,0.178,0.066
"GB43573",0.110959060550136,-0.00512909554097174,0.0785470056433196,0.100326769501958,0.000898752107578504,0.0685671842949126,0,0.846,0,0,0.294,0
"GB43575",0.0137082601708238,0.00129228755726984,0.01199750582627,0.0205714813857978,-9.31878068044512e-05,0.0187653227419298,0,0.162,0.002,0,0.393,0
"GB43579",0.00071329754257321,0.000725385965723024,0.000497019930504772,0.000733382260958315,0.000286839870490718,0.00076041469395427,0.009,0.009,0.023,0,0.027,0
"GB43587",0.0162086554213019,0.0146826172176371,0.0146438961075364,0.0143699504691874,0.00189751139509098,0.00787744743815322,0,0,0,0,0.049,0
